City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Mount Isa,AU,-20.7333,139.5,76.77,65,75,5.75,broken clouds
80,Salta,AR,-24.7859,-65.4117,62.58,74,92,3.0,overcast clouds
81,Dikson,RU,73.5069,80.5464,-20.54,99,94,9.64,overcast clouds
82,Concepcion Del Oro,MX,24.6333,-101.4167,60.31,43,99,18.54,overcast clouds
83,Teya,RU,60.3778,92.6267,10.31,97,100,1.19,light snow
84,Anadyr,RU,64.75,177.4833,-17.9,76,0,8.95,clear sky
85,Tuktoyaktuk,CA,69.4541,-133.0374,-22.0,76,100,18.41,light snow
86,Isangel,VU,-19.55,169.2667,77.11,94,100,13.8,light rain
87,Roald,NO,62.5833,6.1333,39.99,75,75,11.5,broken clouds
88,Kirkenes,NO,69.7271,30.0458,23.22,86,75,11.5,broken clouds
89,Buin,CL,-33.7333,-70.75,92.05,13,0,11.34,clear sky
90,Albany,US,42.6001,-73.9662,27.82,50,13,1.99,few clouds
91,Pevek,RU,69.7008,170.3133,-24.34,99,33,1.05,scattered clouds
92,Bandarbeyla,SO,9.4942,50.8122,75.87,72,100,14.9,overcast clouds
93,Georgiyevka,KZ,43.0369,74.7114,33.84,100,100,6.71,light intensity shower rain
94,Port Alfred,ZA,-33.5906,26.891,75.02,82,47,26.22,scattered clouds
95,Hobart,AU,-42.8794,147.3294,53.06,87,5,3.0,clear sky
96,Ouango,CF,4.3133,22.5552,74.7,27,87,1.12,overcast clouds
97,Ponta Delgada,PT,37.7333,-25.6667,64.51,88,40,16.11,scattered clouds
98,Eregli,TR,37.5133,34.0467,24.71,74,2,3.06,clear sky
99,Wattegama,LK,6.7989,81.4808,77.92,76,100,4.88,overcast clouds
100,Hanzhong,CN,33.0728,107.0303,32.11,81,100,0.81,overcast clouds
101,Chase,CA,50.8165,-119.6857,39.07,96,99,3.53,overcast clouds
102,Hasaki,JP,35.7333,140.8333,28.8,43,0,24.02,clear sky
103,Cidreira,BR,-30.1811,-50.2056,81.25,51,0,11.86,clear sky
104,Tasiilaq,GL,65.6145,-37.6368,23.16,62,100,35.54,overcast clouds
105,Cape Town,ZA,-33.9258,18.4232,69.1,74,15,3.78,few clouds
106,Demba,CD,-5.51,22.2667,68.61,95,100,0.45,light rain
107,Fortuna,US,40.5982,-124.1573,59.94,66,0,1.99,clear sky
108,Severo-Kurilsk,RU,50.6789,156.125,29.68,83,100,14.97,overcast clouds
